北京移动,#genre#
河北卫视HD,http://223.72.115.6:4022/rtp/228.1.1.187:8072
河南卫视HD,http://223.72.115.6:4022/rtp/228.1.1.236:8184
浙江卫视4K,http://223.72.115.6:4022/rtp/228.1.1.45:3004
浙江卫视HD,http://223.72.115.6:4022/rtp/228.1.1.13:8036
淘babyHD,http://223.72.115.6:4022/rtp/228.1.1.128:8001
淘剧场HD,http://223.72.115.6:4022/rtp/228.1.1.126:8001
淘娱乐HD,http://223.72.115.6:4022/rtp/228.1.1.133:8001
淘电影HD,http://223.72.115.6:4022/rtp/228.1.1.124:8001
深圳卫视4K,http://223.72.115.6:4022/rtp/228.1.1.240:2000
深圳卫视HD,http://223.72.115.6:4022/rtp/228.1.1.36:8020
湖北卫视HD,http://223.72.115.6:4022/rtp/228.1.1.16:8044
湖南卫视4K,http://223.72.115.6:4022/rtp/228.1.1.40:3002
湖南卫视HD,http://223.72.115.6:4022/rtp/228.1.1.33:8012
爱上4K,http://223.72.115.6:4022/rtp/228.1.1.38:2000
爱生活HD,http://223.72.115.6:4022/rtp/228.1.1.167:4120
甘肃卫视HD,http://223.72.115.6:4022/rtp/228.1.1.242:8180
睛彩广场舞HD,http://223.72.115.6:4022/rtp/228.1.1.226:8002
睛彩竞技HD,http://223.72.115.6:4022/rtp/228.1.1.223:8002
睛彩篮球HD,http://223.72.115.6:4022/rtp/228.1.1.224:8002
睛彩青少HD,http://223.72.115.6:4022/rtp/228.1.1.225:8002
精选HD,http://223.72.115.6:4022/rtp/228.1.1.154:4120
精选HD,http://223.72.115.6:4022/rtp/228.1.1.155:4120
美妆HD,http://223.72.115.6:4022/rtp/228.1.1.153:4120
茶频道HD,http://223.72.115.6:4022/rtp/228.1.1.145:8002
萌宠TVHD,http://223.72.115.6:4022/rtp/228.1.1.135:8002
西藏卫视HD,http://223.72.115.6:4022/rtp/228.1.1.245:8188
解密HD,http://223.72.115.6:4022/rtp/228.1.1.156:4120
贵州卫视HD,http://223.72.115.6:4022/rtp/228.1.1.188:8076
足球HD,http://223.72.115.6:4022/rtp/228.1.1.170:4120
辽宁卫视HD,http://223.72.115.6:4022/rtp/228.1.1.19:8056
重庆卫视HD,http://223.72.115.6:4022/rtp/228.1.1.210:8160
重温经典HD,http://223.72.115.6:4022/rtp/228.1.1.237:8002
